Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2020-06-29 07:05:00,1570.0,1570.0,1570.0,1570.0,1601.0,0.0,0,0.0,0
2020-06-29 07:12:00,1570.0,1570.0,1570.0,1570.0,100.0,0.0,0,-1501.0,0
2020-06-29 07:36:00,1570.0,1570.0,1570.0,1570.0,5.0,0.0,0,-95.0,0
2020-06-29 07:39:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,-4.0,0
2020-06-29 07:42:00,1570.0,1570.0,1570.0,1570.0,2.0,0.0,0,1.0,1
2020-06-29 07:50:00,1570.0,1570.0,1570.0,1570.0,20.0,0.0,0,18.0,1
2020-06-29 08:02:00,1570.0,1570.0,1570.0,1570.0,299.0,0.0,0,279.0,1
2020-06-29 08:32:00,1570.0,1570.0,1570.0,1570.0,2.0,0.0,0,-297.0,0
2020-06-29 08:37:00,1570.0,1570.0,1570.0,1570.0,10.0,0.0,0,8.0,1
2020-06-29 12:31:00,1570.0,1570.0,1570.0,1570.0,2.0,0.0,0,-8.0,0
2020-06-29 12:55:00,1570.0,1570.0,1570.0,1570.0,132.0,0.0,0,130.0,1
2020-06-29 13:51:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,-131.0,0
2020-06-29 14:15:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,0.0,0
2020-06-29 14:22:00,1570.0,1570.0,1570.0,1570.0,1.0,0.0,0,0.0,0
2020-06-29 14:38:00,1570.0,1570.0,1570.0,1570.0,2.0,0.0,0,1.0,1
2020-06-29 15:37:00,1580.0,1580.0,1580.0,1580.0,0.0,10.0,1,-2.0,0
